ds,yhat,yhat_lower,yhat_upper
2014-01-31,4673.4195929933985,0.0,10372.525711175631
2014-02-28,3029.1288543709256,0.0,8720.701524976623
2014-03-31,13891.943232465139,7991.7368974988285,19278.954178003616
2014-04-30,7167.01633837147,1269.4491290774054,12995.478046644375
2014-05-31,5080.388448707692,0.0,10777.802711554614
2014-06-30,6113.511789004475,329.59407000691016,11617.161792278852
2014-07-31,2389.3338958349177,0.0,7940.855913519024
2014-08-31,6387.253776616919,582.8594103455594,12109.093236665385
2014-09-30,10412.009251519972,5007.359771900401,16398.11548317522
2014-10-31,6214.427000889262,754.1153107014901,11932.349208535998
2014-11-30,12666.97151592383,7561.8183552090895,18303.69997340561
2014-12-31,8964.63911862103,2735.8202777802762,14977.845179289745
2015-01-31,5934.100447213162,362.6438957367886,11158.2331437319
2015-02-28,266.17401365778267,0.0,5816.360794771791
2015-03-31,19698.677857898343,13694.443132881412,25619.033495452262
2015-04-30,8468.184963944579,2747.647783516506,14075.279736356842
2015-05-31,1976.8214537451506,0.0,7527.41717516219
2015-06-30,7316.40815130666,1765.3369156165647,13292.996801809119
2015-07-31,1231.4985152100091,0.0,6661.735438181865
2015-08-31,7903.446934748265,2194.772504804155,13616.836832664698
2015-09-30,12583.174561143172,6832.736619285595,18100.106770747367
2015-10-31,7747.399951842686,2004.8275695411753,13070.944166555078
2015-11-30,11531.788526931294,6269.42006360148,17124.73559564321
2015-12-31,9347.445986057004,3907.4019853075806,14952.245699019695
2016-01-31,7318.524642281163,1613.9906848036674,12865.96627767786
2016-02-29,10235.838315774652,4441.206845236919,16126.091560608289
2016-03-31,6279.825115178962,476.1634074878724,11641.813022737637
2016-04-30,6469.758268428831,577.6438278242333,11904.671967819166
2016-05-31,13379.458531150065,7584.92627280353,18478.172773711187
2016-06-30,5675.40761752928,8.895225846725337,11379.52452934312
2016-07-31,5776.793627179274,0.0,11428.189199614771
2016-08-31,5397.847243606168,0.0,11307.329166318297
2016-09-30,9159.546428579099,3576.7370376173753,14623.67433462518
2016-10-31,4786.713970119844,0.0,10422.523662451946
2016-11-30,19125.127365973633,13512.535140492742,24737.796290604372
2016-12-31,11122.445644854582,5679.788638288156,17148.170732098413
2017-01-31,4831.801238963068,0.0,9877.219273651006
2017-02-28,7341.313298121312,1400.5018523863375,12971.357513771687
2017-03-31,12010.184576557873,6870.917264575434,17854.46208284117
2017-04-30,7991.430529161899,2297.335839621119,12957.710642195623
2017-05-31,10341.755339633832,4790.353415285537,15507.100828863788
2017-06-30,6820.6655488778715,1102.262823657437,12512.596134061117
2017-07-31,4555.313491704048,0.0,10251.565127623486
2017-08-31,6819.069310542425,1033.7269116501716,12427.286796525987
2017-09-30,11345.92082930325,5831.547377576116,16845.311122695566
2017-10-31,6430.8677296252345,671.7811414617265,11932.962716020982
2017-11-30,18056.71831724029,12507.487013386512,23959.425466221543
2017-12-31,11454.546768423405,5762.224838980207,16751.238656988007
2018-01-31,6242.440405875128,633.8008432161403,11896.145644521674
2018-02-28,4039.741510566468,0.0,9739.94150557654
2018-03-31,18494.841868784002,12688.272300867531,24333.40749321167
2018-04-30,9526.00167013334,4139.659843002943,15356.04780115661
2018-05-31,6741.224705958355,1304.4417600305324,12621.413611662883
2018-06-30,8099.0526115392695,2405.9708094743037,13589.634277015328
