ds,yhat,yhat_lower,yhat_upper
2014-01-31,3235.1743575765986,0.0,8782.782772536631
2014-02-28,3874.81113256163,0.0,9438.540861202257
2014-03-31,6863.579116379079,965.9710656938563,12930.855969391196
2014-04-30,7708.175576138967,1912.20649522584,12846.272231188
2014-05-31,7979.790752166622,2430.67750280907,13668.626491054187
2014-06-30,9566.222700917902,4177.001849573512,15622.986731449062
2014-07-31,8327.833639241224,2716.761360813678,13747.954218057266
2014-08-31,8817.141133577412,3061.427085154077,14016.380717966067
2014-09-30,23028.172123379794,17428.439947151226,28580.22785105543
2014-10-31,10415.374821948595,4476.8789157979745,16140.702266065287
2014-11-30,29277.888279884064,23508.38281934029,34552.524672938554
2014-12-31,19234.07253929055,13388.151997860943,24794.86622983315
2015-01-31,3602.349625834857,0.0,8814.53516943461
2015-02-28,5939.846934867827,508.60141676594026,11649.716122790302
2015-03-31,7208.1446949420215,1400.2762191786765,12951.841497178064
2015-04-30,8440.12703123124,2756.51597460249,13146.140004186092
2015-05-31,8149.634131370442,2748.669092656832,13742.77830435104
2015-06-30,11929.81525074991,6341.7833698446075,17787.883942773933
2015-07-31,11073.438738123812,5409.766266578551,16408.370067472824
2015-08-31,9287.896378757532,3816.7428160419004,15081.705549006483
2015-09-30,29076.6130834065,23671.080942693923,34083.208743077186
2015-10-31,6869.517506183613,1225.6278089550744,12739.81866123954
2015-11-30,36453.85550763903,30888.823110406644,42049.528597395554
2015-12-31,21948.36961664312,16429.106009488245,27318.682493525932
2016-01-31,3932.2531535255807,0.0,10085.035646840171
2016-02-29,1936.4766889814045,0.0,7777.142020908234
2016-03-31,10937.231982153677,5435.227645968478,16757.010542650667
2016-04-30,11530.41233720137,5955.352354697864,17068.208802236175
2016-05-31,13307.910279150841,8013.723640171974,18462.3864225137
2016-06-30,10955.495327558205,5426.770404697795,16785.1578542624
2016-07-31,7744.529072213501,2250.630417559912,13559.43751114476
2016-08-31,13684.203011015035,8036.7564538620345,19350.180259802397
2016-09-30,24419.41947068317,18595.14130333866,30088.458461798826
2016-10-31,25305.550966100636,20326.737661287632,30959.44440597871
2016-11-30,32196.170853527474,26606.276160344587,37798.25602653275
2016-12-31,25351.579988697667,20030.04247761833,30598.3355811894
2017-01-31,5200.647597183314,0.0,10089.756119425465
2017-02-28,4037.665237575645,0.0,9341.918549779683
2017-03-31,11356.593529776947,6391.098709876752,16955.963546824438
2017-04-30,12274.32181757698,6313.650910272761,17935.67906758796
2017-05-31,13420.847394763829,7765.177845185234,18456.979158409376
2017-06-30,13237.403735054155,7902.562328778858,18774.267132523437
2017-07-31,10512.86831328868,4787.17799606941,16140.7809299712
2017-08-31,14165.000266367888,8435.11852753797,19684.47015819952
2017-09-30,30603.75082806794,24849.690408312046,35832.32181822015
2017-10-31,21755.024497661576,16332.716010699578,27405.31085863085
2017-11-30,39255.24557045272,33720.28145289855,44732.4913595045
2017-12-31,28094.98765844514,22214.84577459093,33371.8592320668
2018-01-31,5486.572617150317,0.0,11111.242667639382
2018-02-28,6535.851742534977,881.992465744469,12022.274069791663
2018-03-31,11509.471557334726,6015.648660127279,17131.095341445754
2018-04-30,12854.244995196817,7357.8513924388235,18688.4970952332
2018-05-31,13232.7857562075,7869.77559794453,18906.505563947976
2018-06-30,15779.56340823525,10246.168722443537,21504.241924920778
